filename,start_time,end_time,chord
Come_Take_My_Hand.mid,180.811,181.429,Unknown
Come_Take_My_Hand.mid,182.857,184.9,G Minor
Come_Take_My_Hand.mid,184.9,185.714,Unknown
Come_Take_My_Hand.mid,185.714,187.857,D Minor
Come_Take_My_Hand.mid,188.572,190.536,A Minor
Come_Take_My_Hand.mid,190.651,191.072,A Minor
Come_Take_My_Hand.mid,191.429,192.24,C Major
Come_Take_My_Hand.mid,192.24,192.857,Unknown
Come_Take_My_Hand.mid,194.286,196.328,G Minor
Come_Take_My_Hand.mid,196.328,197.143,Unknown
Come_Take_My_Hand.mid,199.007,199.405,Unknown
Come_Take_My_Hand.mid,199.643,200.0,Unknown
Come_Take_My_Hand.mid,201.905,202.411,Unknown
Come_Take_My_Hand.mid,203.333,203.839,Unknown
Come_Take_My_Hand.mid,206.191,206.964,Unknown
Come_Take_My_Hand.mid,207.619,208.393,Unknown
Come_Take_My_Hand.mid,210.435,210.833,Unknown
Come_Take_My_Hand.mid,211.072,211.429,Unknown
Come_Take_My_Hand.mid,213.333,213.839,Unknown
Come_Take_My_Hand.mid,214.762,215.268,Unknown
Come_Take_My_Hand.mid,217.619,218.393,Unknown
Come_Take_My_Hand.mid,219.048,219.822,Unknown
Come_Take_My_Hand.mid,220.0,220.357,D Minor
Come_Take_My_Hand.mid,220.536,221.072,D Minor
Come_Take_My_Hand.mid,221.25,221.786,D Minor
Come_Take_My_Hand.mid,221.964,222.5,D Minor
Come_Take_My_Hand.mid,222.857,223.214,A Minor
Come_Take_My_Hand.mid,223.393,223.929,A Minor
Come_Take_My_Hand.mid,224.107,224.643,A Minor
Come_Take_My_Hand.mid,224.822,225.357,A Minor
Come_Take_My_Hand.mid,225.714,226.072,C Major
Come_Take_My_Hand.mid,226.25,226.786,C Major
Come_Take_My_Hand.mid,226.964,227.5,C Major
Come_Take_My_Hand.mid,227.679,228.214,C Major
Come_Take_My_Hand.mid,228.572,228.929,G Minor
Come_Take_My_Hand.mid,229.107,229.643,G Minor
Come_Take_My_Hand.mid,229.822,230.357,G Minor
Come_Take_My_Hand.mid,230.536,231.072,G Minor
Come_Take_My_Hand.mid,231.429,231.786,D Minor
Come_Take_My_Hand.mid,231.964,232.5,D Minor
Come_Take_My_Hand.mid,232.679,233.214,D Minor
Come_Take_My_Hand.mid,233.393,233.929,D Minor
Come_Take_My_Hand.mid,234.286,234.643,A Minor
Come_Take_My_Hand.mid,234.822,235.357,A Minor
Come_Take_My_Hand.mid,235.536,236.072,A Minor
Come_Take_My_Hand.mid,236.25,236.786,A Minor
Come_Take_My_Hand.mid,237.143,237.5,C Major
Come_Take_My_Hand.mid,237.679,238.214,C Major
Come_Take_My_Hand.mid,238.393,238.929,C Major
Come_Take_My_Hand.mid,239.107,239.643,C Major
Come_Take_My_Hand.mid,240.0,240.357,G Minor
Come_Take_My_Hand.mid,240.536,241.072,G Minor
Come_Take_My_Hand.mid,241.25,241.786,G Minor
Come_Take_My_Hand.mid,241.964,242.5,G Minor
